transect_id,vertex_index,latitude,longitude,elevation,dam
13,13,20.95961831,71.19993964,-5.57,-4.78
13,14,20.95960921,71.19995625,-4.76,-4.78
13,15,20.95960011,71.19997286,-3.86,-4.78
13,16,20.95959102,71.19998947,-3.25,-4.78
13,17,20.95958192,71.20000608,-2.55,-4.78
13,18,20.95957283,71.20002269,-1.94,-4.78
13,19,20.95956373,71.2000393,-1.62,-4.78
13,20,20.95955463,71.20005591,-1.26,-4.78
14,0,20.95956758,71.19984139,-6.68,-4.72
14,1,20.95957668,71.19982478,-5.29,-4.72
14,2,20.95958578,71.19980817,-6.72,-4.72
14,3,20.95959487,71.19979156,-6.51,-4.72
14,4,20.95960397,71.19977495,-6.55,-4.72
14,5,20.95961307,71.19975835,-5.95,-4.72
14,6,20.95962216,71.19974174,-5.52,-4.72
14,7,20.95963126,71.19972513,-4.43,-4.72
14,8,20.95964035,71.19970852,-3.78,-4.72
14,9,20.95964945,71.19969191,-3.58,-4.72
14,10,20.95965855,71.1996753,-3.75,-4.72
14,11,20.95955849,71.199858,-6.39,-4.72
14,12,20.95954939,71.19987461,-5.84,-4.72
14,13,20.95954029,71.19989122,-6.28,-4.72
14,14,20.9595312,71.19990783,-4.09,-4.72
14,15,20.9595221,71.19992444,-3.43,-4.72
14,16,20.95951301,71.19994105,-2.83,-4.72
14,17,20.95950391,71.19995766,-2.11,-4.72
14,18,20.95949481,71.19997427,-1.86,-4.72
14,19,20.95948572,71.19999088,-1.47,-4.72
14,20,20.95947662,71.20000749,-1.07,-4.72
15,0,20.95948957,71.19979297,-6.82,-4.95
15,1,20.95949867,71.19977636,-6.9,-4.95
15,2,20.95950776,71.19975975,-6.95,-4.95
15,3,20.95951686,71.19974314,-6.83,-4.95
15,4,20.95952596,71.19972653,-6.69,-4.95
15,5,20.95953505,71.19970992,-5.84,-4.95
15,6,20.95954415,71.19969331,-5.06,-4.95
15,7,20.95955324,71.1996767,-4.3,-4.95
15,8,20.95956234,71.19966009,-2.86,-4.95
15,9,20.95957144,71.19964348,-2.77,-4.95
15,10,20.95958053,71.19962688,-3.88,-4.95
15,11,20.95948047,71.19980958,-6.61,-4.95
15,12,20.95947138,71.19982619,-6.36,-4.95
15,13,20.95946228,71.1998428,-5.95,-4.95
15,14,20.95945319,71.19985941,-5.56,-4.95
15,15,20.95944409,71.19987602,-4.88,-4.95
15,16,20.95943499,71.19989263,-4.45,-4.95
15,17,20.9594259,71.19990924,-3.69,-4.95
15,18,20.9594168,71.19992584,-3.12,-4.95
15,19,20.9594077,71.19994245,-2.61,-4.95
15,20,20.95939861,71.19995906,-2.07,-4.95
16,0,20.95941156,71.19974455,-6.56,-4.66
